Project, Loss, Chain, Vulnerability, date, transactions
CheckDot Protocol,                120000.000000,                [56],                Access Control Issue,                1706722827000,                [{'txnHash': '0xdd19e3a1657f8381b561c4d6c9b61be67380e10fd4d367ccad6e8cf28c114e72', 'txnHashDate': 1706722827000, 'chainId': 56}]
MIM_Spell,                6500000.000000,                [1],                Precision Loss,                1706609675000,                [{'txnHash': '0xdb4616b89ad82062787a4e924d520639791302476484b9a6eca5126f79b6d877', 'txnHashDate': 1706610419000, 'chainId': 1}, {'txnHash': '0x26a83db7e28838dd9fee6fb7314ae58dcc6aee9a20bf224c386ff5e80f7e4cf2', 'txnHashDate': 1706609675000, 'chainId': 1}]
Barley Finance,                130000.000000,                [1],                Reentrancy,                1706464499000,                [{'txnHash': '0xb95f56a93af1dbf477b2c527e186cc37aa4a973f8007717ff6c58ac62eb28a62', 'txnHashDate': 1706492135000, 'chainId': 1}, {'txnHash': '0x032c9e7fa7d1697fa64fd4a59f0d08278d27aa537525e9bd17f71f01d36b8b6a', 'txnHashDate': 1706471207000, 'chainId': 1}, {'txnHash': '0x2a50db3dac1b4468d226deb53cb34737669b5f93848ac04d4e296ade06f9876c', 'txnHashDate': 1706464799000, 'chainId': 1}, {'txnHash': '0x995e880635f4a7462a420a58527023f946710167ea4c6c093d7d193062a33b01', 'txnHashDate': 1706464499000, 'chainId': 1}]
NBLGAME,                180000.000000,                [10],                Reentrancy,                1706184915000,                [{'txnHash': '0xf4fc3b638f1a377cf22b729199a9aeb27fc62fe2983a65c4d14b99ee5c5b2328', 'txnHashDate': 1706184915000, 'chainId': 10}]
DAO_SoulMate,                319000.000000,                [1],                Access Control Issue,                1705943675000,                [{'txnHash': '0x1ea0a2e88efceccb2dd93e6e5cb89e5421666caeefb1e6fc41b68168373da342', 'txnHashDate': 1705943675000, 'chainId': 1}]
BasketDAO,                107000.000000,                [1],                Unverified User Input,                1705527071000,                [{'txnHash': '0x97201900198d0054a2f7a914f5625591feb6a18e7fc6bb4f0c964b967a6c15f6', 'txnHashDate': 1705527071000, 'chainId': 1}]
Socket,                3200000.000000,                [1],                Unverified User Input,                1705432283000,                [{'txnHash': '0x591d054a9db63f0976e533f447df482bed5f24d7429646570b2108a67e24ce54', 'txnHashDate': 1705432415000, 'chainId': 1}, {'txnHash': '0xc6c3331fa8c2d30e1ef208424c08c039a89e510df2fb6ae31e5aa40722e28fd6', 'txnHashDate': 1705432283000, 'chainId': 1}]
Wise Lending,                460000.000000,                [1],                Business Logic Flaw,                1705087763000,                [{'txnHash': '0x04e16a79ff928db2fa88619cdd045cdfc7979a61d836c9c9e585b3d6f6d8bc31', 'txnHashDate': 1705087763000, 'chainId': 1}]
Loot,                1200000.000000,                [1],                Governance Attack,                1704462707000,                [{'txnHash': '0xbc8c30b7db136e97251eaa9897853ddf125f155b7c63bbe4c06d704384a40556', 'txnHashDate': 1704462707000, 'chainId': 1}]
Gamma Strategies,                6500000.000000,                [42161],                Vulnerable Price Dependency,                1704339057000,                [{'txnHash': '0xa96584f8ab7c27daea33798bb8a66286c75a2ba57eee3b4192c771f4eb4ac609', 'txnHashDate': 1704339544000, 'chainId': 42161}, {'txnHash': '0xcbb7ba9aca8467c561e7a1213556fc0da0a7d80d076c08856b590de9ff03f838', 'txnHashDate': 1704339525000, 'chainId': 42161}, {'txnHash': '0xbbc005af95fdb0decf477989059f70ebae8433955ac3ab1cf77a30ff30f0b615', 'txnHashDate': 1704339479000, 'chainId': 42161}, {'txnHash': '0xe4bf6f1c964a89d48af60216ce110f4bf54fcbada20b7cefaf6bea55c9f4d542', 'txnHashDate': 1704339395000, 'chainId': 42161}, {'txnHash': '0xcfdc8147022e8133e74d3576d43ffb56543de30ecf2a4c8c154e51ab18551926', 'txnHashDate': 1704339358000, 'chainId': 42161}, {'txnHash': '0xf99d4164aa91d94b8b2237a4fbe789c0d117460dcbe2242e832f95447166892b', 'txnHashDate': 1704339327000, 'chainId': 42161}, {'txnHash': '0xfb044b7d892b812b430decba322922d17c3f902db6040d872d0f845e6eae7ce1', 'txnHashDate': 1704339299000, 'chainId': 42161}, {'txnHash': '0xe63c77d4a205e1036a230b483753876a93915706af24264e64e470919339ab98', 'txnHashDate': 1704339257000, 'chainId': 42161}, {'txnHash': '0xff88d10bc452c3dcf04e4ea42c585b86ac521728a40d70ec97e846ed0f0d1597', 'txnHashDate': 1704339203000, 'chainId': 42161}, {'txnHash': '0xf23c38b79806433fdd85c9b2aa70971d97d284e8ec155e0cd4141d2957911ea7', 'txnHashDate': 1704339136000, 'chainId': 42161}, {'txnHash': '0xe2301118a4ad24b944a6190b24fac26ed5a340a4a7f52788484dcce0d6f9585e', 'txnHashDate': 1704339122000, 'chainId': 42161}, {'txnHash': '0xadb209cc735cec128adc9dff43bc4666cf37037efd375970eaf23a2f9fda6e03', 'txnHashDate': 1704339102000, 'chainId': 42161}, {'txnHash': '0xb678ceb8da285bd6367a3e01af245d93dd23ab8f00a15157955c033a2b3b92c3', 'txnHashDate': 1704339078000, 'chainId': 42161}, {'txnHash': '0xf71e6e5164f8fb866873eb2ac6a600a5148c374d92b89ecbb37ce540a86a4550', 'txnHashDate': 1704339057000, 'chainId': 42161}]
Radiant Capital,                4500000.000000,                [42161],                Accounting Error,                1704221618000,                [{'txnHash': '0xc5c4bbddec70edb58efba60c1f27bce6515a45ffcab4236026a5eeb3e877fc6d', 'txnHashDate': 1704221629000, 'chainId': 42161}, {'txnHash': '0x2af556386c023f7ebe7c662fd5d1c6cc5ed7fba4723cbd75e00faaa98cd14243', 'txnHashDate': 1704221626000, 'chainId': 42161}, {'txnHash': '0x1ce7e9a9e3b6dd3293c9067221ac3260858ce119ecb7ca860eac28b2474c7c9b', 'txnHashDate': 1704221618000, 'chainId': 42161}]
Transit Finance,                110000.000000,                [56],                Untrusted Input,                1703037712000,                [{'txnHash': '0x93ae5f0a121d5e1aadae052c36bc5ecf2d406d35222f4c6a5d63fef1d6de1081', 'txnHashDate': 1703037712000, 'chainId': 56}]
Floor Protocol,                1600000.000000,                [1],                Business Logic Flaw,                1702773683000,                [{'txnHash': '0x4d8d7e6f2bdc49e724b8d2a0241cf31d0911a230fa17230c7f025cead1842e93', 'txnHashDate': 1702773683000, 'chainId': 1}]
NFT Trader,                3000000.000000,                [1],                Reentrancy,                1702740179000,                [{'txnHash': '0xec7523660f8b66d9e4a5931d97ad8b30acc679c973b20038ba4c15d4336b393d', 'txnHashDate': 1702740179000, 'chainId': 1}]
Hypr Network,                200000.000000,                [1],                Business Logic Flaw,                1702438235000,                [{'txnHash': '0x51ce3d9cfc85c1f6a532b908bb2debb16c7569eb8b76effe614016aac6635f65', 'txnHashDate': 1702438235000, 'chainId': 1}]
Elephant Money,                165000.000000,                [56],                Flawed Price Dependency,                1701858478000,                [{'txnHash': '0x7ccb189c78376bdc35294f1779e7156233bcbc65f8681b3d6a7f512c1c2d5218', 'txnHashDate': 1701859936000, 'chainId': 56}, {'txnHash': '0xd423ae0e95e9d6c8a89dcfed243573867e4aad29ee99a9055728cbbe0a523439', 'txnHashDate': 1701858478000, 'chainId': 56}]
BEARNDAO,                769000.000000,                [56],                Lack of Slippage Protection,                1701813183000,                [{'txnHash': '0x51913be3f31d5ddbfc77da789e5f9653ed6b219a52772309802226445a1edd5f', 'txnHashDate': 1701813183000, 'chainId': 56}]
Hope.money,                825000.000000,                [42161],                Precision Loss,                1701227109000,                [{'txnHash': '0x27f13eaa3d72dbd32bda5d758e0ecbd689f6d23f60ec7b0c27a4042a6c68fa20', 'txnHashDate': 1701227109000, 'chainId': 42161}]
