Project, Loss, Vulnerability, Transactions, Date, Time, Chain
CheckDot Protocol,120000,                Access Control Issue,0xdd19e3a1657f8381b561c4d6c9b61be67380e10fd4d367ccad6e8cf28c114e72,31:01:2024 , 17:40,56
MIM_Spell,6500000,                Precision Loss,0xdb4616b89ad82062787a4e924d520639791302476484b9a6eca5126f79b6d877,30:01:2024 , 10:26,1
 , ,,0x26a83db7e28838dd9fee6fb7314ae58dcc6aee9a20bf224c386ff5e80f7e4cf2,30:01:2024 , 10:14,1
Barley Finance,130000,                Reentrancy,0xb95f56a93af1dbf477b2c527e186cc37aa4a973f8007717ff6c58ac62eb28a62,29:01:2024 , 01:35,1
 , ,,0x032c9e7fa7d1697fa64fd4a59f0d08278d27aa537525e9bd17f71f01d36b8b6a,28:01:2024 , 19:46,1
 , ,,0x2a50db3dac1b4468d226deb53cb34737669b5f93848ac04d4e296ade06f9876c,28:01:2024 , 17:59,1
 , ,,0x995e880635f4a7462a420a58527023f946710167ea4c6c093d7d193062a33b01,28:01:2024 , 17:54,1
NBLGAME,180000,                Reentrancy,0xf4fc3b638f1a377cf22b729199a9aeb27fc62fe2983a65c4d14b99ee5c5b2328,25:01:2024 , 12:15,10
DAO_SoulMate,319000,                Access Control Issue,0x1ea0a2e88efceccb2dd93e6e5cb89e5421666caeefb1e6fc41b68168373da342,0.940787037, 17:14,1
BasketDAO,107000,                Unverified User Input,0x97201900198d0054a2f7a914f5625591feb6a18e7fc6bb4f0c964b967a6c15f6,0.732453704, 21:31,1
Socket,3200000,                Unverified User Input,0x591d054a9db63f0976e533f447df482bed5f24d7429646570b2108a67e24ce54,0.690787037, 19:13,1
 , ,,0xc6c3331fa8c2d30e1ef208424c08c039a89e510df2fb6ae31e5aa40722e28fd6,0.690787037, 19:11,1
Wise Lending,460000,                Business Logic Flaw,0x04e16a79ff928db2fa88619cdd045cdfc7979a61d836c9c9e585b3d6f6d8bc31,0.52412037, 19:29,1
Loot,1200000,                Governance Attack,0xbc8c30b7db136e97251eaa9897853ddf125f155b7c63bbe4c06d704384a40556,0.232453704, 13:51,1
Gamma Strategies,6500000,                Vulnerable Price Dependency,0xa96584f8ab7c27daea33798bb8a66286c75a2ba57eee3b4192c771f4eb4ac609,0.190787037, 03:39,42161
 , ,,0xcbb7ba9aca8467c561e7a1213556fc0da0a7d80d076c08856b590de9ff03f838,0.190787037, 03:38,42161
 , ,,0xbbc005af95fdb0decf477989059f70ebae8433955ac3ab1cf77a30ff30f0b615,0.190787037, 03:37,42161
 , ,,0xe4bf6f1c964a89d48af60216ce110f4bf54fcbada20b7cefaf6bea55c9f4d542,0.190787037, 03:36,42161
 , ,,0xcfdc8147022e8133e74d3576d43ffb56543de30ecf2a4c8c154e51ab18551926,0.190787037, 03:35,42161
 , ,,0xf99d4164aa91d94b8b2237a4fbe789c0d117460dcbe2242e832f95447166892b,0.190787037, 03:35,42161
 , ,,0xfb044b7d892b812b430decba322922d17c3f902db6040d872d0f845e6eae7ce1,0.190787037, 03:34,42161
 , ,,0xe63c77d4a205e1036a230b483753876a93915706af24264e64e470919339ab98,0.190787037, 03:34,42161
